start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,num_trips
426,West St & Chambers St,40.71754834,-74.01322069,2008,Little West St & 1 Pl,40.70569254,-74.01677685,12
492,W 33 St & 7 Ave,40.75019995,-73.99093085,359,E 47 St & Park Ave,40.75510267,-73.97498696,12
285,Broadway & E 14 St,40.73454567,-73.99074142,335,Washington Pl & Broadway,40.72903917,-73.99404649,12
3002,South End Ave & Liberty St,40.711512,-74.015756,363,West Thames St,40.70834698,-74.01713445,12
406,Hicks St & Montague St,40.69512845,-73.99595065,391,Clark St & Henry St,40.69760127,-73.99344559,12
387,Centre St & Chambers St,40.71273266,-74.0046073,151,Cleveland Pl & Spring St,40.722103786686034,-73.997249007225037,12
442,W 27 St & 7 Ave,40.746647,-73.993915,458,11 Ave & W 27 St,40.751396,-74.005226,12
3233,E 48 St & 5 Ave,40.757245679117261,-73.978059142827988,450,W 49 St & 8 Ave,40.76227205,-73.98788205,12
481,S 3 St & Bedford Ave,40.71260486,-73.96264403,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,12
388,W 26 St & 10 Ave,40.749717753,-74.002950346,494,W 26 St & 8 Ave,40.74734825,-73.99723551,12
3641,Broadway & W 25 St,40.742868773121117,-73.98918628692627,497,E 17 St & Broadway,40.73704984,-73.99009296,12
494,W 26 St & 8 Ave,40.74734825,-73.99723551,458,11 Ave & W 27 St,40.751396,-74.005226,12
244,Willoughby Ave & Hall St,40.69196035,-73.96536851,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,12
492,W 33 St & 7 Ave,40.75019995,-73.99093085,527,E 33 St & 2 Ave,40.744023,-73.976056,12
435,W 21 St & 6 Ave,40.74173969,-73.99415556,509,9 Ave & W 22 St,40.7454973,-74.00197139,12
492,W 33 St & 7 Ave,40.75019995,-73.99093085,484,W 44 St & 5 Ave,40.75500254,-73.98014437,12
3002,South End Ave & Liberty St,40.711512,-74.015756,427,Bus Slip & State St,40.701907,-74.013942,12
281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,3165,Central Park West & W 72 St,40.775793766836657,-73.9762057363987,12
267,Broadway & W 36 St,40.75097711,-73.98765428,519,Pershing Square North,40.751873,-73.977706,12
3664,North Moore St & Greenwich St,40.720195214374648,-74.0103006362915,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,12
405,Washington St & Gansevoort St,40.739323,-74.008119,358,Christopher St & Greenwich St,40.73291553,-74.00711384,11
