,station_id,station_name,station_latitude,station_longitude,num_trips
0,72,W 52 St & 11 Ave,40.76727216,-73.99392888,227
1,79,Franklin St & W Broadway,40.71911552,-74.00666661,155
2,82,St James Pl & Pearl St,40.71117416,-74.00016545,60
3,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,102
4,116,W 17 St & 8 Ave,40.74177603,-74.00149746,0
5,119,Park Ave & St Edwards St,40.69608941,-73.97803415,22
6,120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,38
7,127,Barrow St & Hudson St,40.73172428,-74.00674436,382
8,128,MacDougal St & Prince St,40.72710258,-74.00297088,384
9,137,E 56 St & Madison Ave,40.761628,-73.972924,0
10,143,Clinton St & Joralemon St,40.69239502,-73.99337909,147
11,144,Nassau St & Navy St,40.69839895,-73.98068914,34
12,146,Hudson St & Reade St,40.71625008,-74.0091059,191
13,147,Greenwich St & Warren St,40.71542197,-74.01121978,0
14,150,E 2 St & Avenue C,40.7208736,-73.98085795,169
15,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,441
16,151,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,441
17,152,Warren St & Church St,40.71473993,-74.00910627,0
18,153,E 40 St & 5 Ave,40.75206231,-73.9816324,0
19,153,E 40 St & 5 Ave,40.752062307,-73.9816324043,0
20,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,107
21,160,E 37 St & Lexington Ave,40.44535,-73.978238,0
22,160,E 37 St & Lexington Ave,40.748238,-73.978311,0
23,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,335
24,164,E 47 St & 2 Ave,40.75323098,-73.97032517,204
25,167,E 39 St & 3 Ave,40.7489006,-73.97604882,340
26,168,W 18 St & 6 Ave,40.73971301,-73.99456405,473
27,173,Broadway & W 49 St,40.76064679,-73.98442659,487
28,173,Broadway & W 49 St,40.76068327096592,-73.9845272898674,487
29,174,E 25 St & 1 Ave,40.7381765,-73.97738662,237
30,195,Liberty St & Broadway,40.70905623,-74.01043382,305
31,212,W 16 St & The High Line,40.74334935,-74.00681753,371
32,216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,52
33,217,Old Fulton St,40.70277159,-73.99383605,188
34,218,Gallatin Pl & Livingston St,40.69028437,-73.98707105,0
35,223,W 13 St & 7 Ave,40.73781509,-73.99994661,274
36,224,Spruce St & Nassau St,40.71146364,-74.00552427,0
37,225,W 14 St & The High Line,40.74195138,-74.00803013,0
38,228,E 48 St & 3 Ave,40.7546011,-73.97187886,206
39,228,E 48 St & 3 Ave,40.7546011026,-73.971878855,206
40,229,Great Jones St,40.72743423,-73.99379025,472
41,232,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,65
42,233,Cadman Plaza W & Pierrepont St,40.69475701363877,-73.99052739143372,0
43,233,Joralemon St & Adams St,40.69246277,-73.98963911,0
44,233,Cadman Plaza W & Pierrepont St,40.69475701,-73.99052739,0
45,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,252
46,237,E 11 St & 2 Ave,40.73047309,-73.98672378,292
47,238,Bank St & Washington St,40.7361967,-74.00859207,0
48,239,Willoughby St & Fleet St,40.69196566,-73.9813018,178
49,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,89
50,242,Carlton Ave & Flushing Ave,40.697787,-73.973736,87
51,242,Flushing Ave & Carlton Ave,40.69788349,-73.97350332,87
52,243,Fulton St & Rockwell Pl,40.688226,-73.979382,79
53,243,Fulton St & Rockwell Pl,40.687979,-73.978474,79
54,244,Willoughby Ave & Hall St,40.69196035,-73.96536851,72
55,245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,28
56,247,Perry St & Bleecker St,40.73535398,-74.00483091,156
57,248,Laight St & Hudson St,40.72185379,-74.00771779,70
58,249,Harrison St & Hudson St,40.71870987,-74.0090009,139
59,250,Lafayette St & Jersey St,40.72456089,-73.99565293,0
60,250,Lafayette St & Jersey St N,40.72456089,-73.99565293,0
61,251,Mott St & Prince St,40.72317958,-73.99480012,296
62,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,202
63,253,W 13 St & 5 Ave,40.73543934,-73.99453948,287
64,254,W 11 St & 6 Ave,40.73532427,-73.99800419,196
65,255,NYCBS Depot - SSP,40.646768,-74.01651,0
66,257,Lispenard St & Broadway,40.71939226,-74.00247214,209
67,258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,64
68,259,South St & Whitehall St,40.70122128,-74.01234218,201
69,260,Broad St & Bridge St,40.70365182,-74.01167797,113
70,261,Johnson St & Gold St,40.69474881,-73.98362464,64
71,262,Washington Park,40.69178232,-73.97372989,47
72,262,Washington Park,40.6917823,-73.9737299,47
73,263,Elizabeth St & Hester St,40.71729,-73.996375,0
74,263,Elizabeth St & Hester St,40.71759081805981,-73.99622440338135,0
75,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,112
76,265,Stanton St & Chrystie St,40.72229346,-73.99147535,228
77,266,Avenue D & E 8 St,40.72368361,-73.97574813,111
78,267,Broadway & W 36 St,40.75097711,-73.98765428,356
79,268,Howard St & Centre St,40.71910537,-73.99973337,244
80,270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,110
81,271,Ashland Pl & Hanson Pl,40.68522671947255,-73.97800147533415,0
82,271,Ashland Pl & Hanson Pl,40.68528172,-73.97805813,0
83,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,82
84,275,Washington Ave & Greene Ave,40.68650065,-73.96563307,46
85,276,Duane St & Greenwich St,40.71748752,-74.0104554,125
