,station_id,station_name,station_latitude,station_longitude,num_trips
100,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,298
101,337,Old Slip & Front St,40.7037992,-74.00838676,144
102,339,Avenue D & E 12 St,40.72580614,-73.97422494,107
103,340,Madison St & Clinton St,40.71269042,-73.98776323,111
104,341,Stanton St & Mangin St,40.71782143,-73.97628939,121
105,342,Columbia St & Rivington St,40.71739973,-73.98016555,126
106,343,Clinton Ave & Flushing Ave,40.69794,-73.96986848,46
107,344,Monroe St & Bedford Ave,40.6851443,-73.95380904,69
108,345,W 13 St & 6 Ave,40.73649403,-73.99704374,259
109,346,Bank St & Hudson St,40.73652889,-74.00618026,289
110,347,Greenwich St & W Houston St,40.728846,-74.008591,360
111,349,Rivington St & Ridge St,40.71850211,-73.98329859,103
112,350,Clinton St & Grand St,40.71559509,-73.9870295,150
113,351,Front St & Maiden Ln,40.70530954,-74.00612572,155
114,353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,87
115,354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,84
116,355,Bayard St & Baxter St,40.71602118,-73.99974372,183
117,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,101
118,357,E 11 St & Broadway,40.73261787,-73.99158043,168
119,358,Christopher St & Greenwich St,40.73291553,-74.00711384,504
120,359,E 47 St & Park Ave,40.75510267,-73.97498696,567
121,360,William St & Pine St,40.70717936,-74.00887308,176
122,361,Allen St & Hester St,40.71605866,-73.99190759,194
123,362,Broadway & W 37 St,40.75172632,-73.98753523,227
124,363,West Thames St,40.70834698,-74.01713445,211
125,364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,77
126,365,Fulton St & Grand Ave,40.68223166,-73.9614583,45
127,366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,117
128,368,Carmine St & 6 Ave,40.73038599,-74.00214988,441
129,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,174
130,372,Franklin Ave & Myrtle Ave,40.694546087246025,-73.95801365375519,32
131,373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,23
132,376,John St & William St,40.70862144,-74.00722156,135
133,377,6 Ave & Canal St,40.72243797,-74.00566443,318
134,379,W 31 St & 7 Ave,40.749156,-73.9916,616
135,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,189
136,382,University Pl & E 14 St,40.73492695,-73.99200509,425
137,383,Greenwich Ave & Charles St,40.735238,-74.000271,268
138,386,Centre St & Worth St,40.71494807,-74.00234482,76
139,387,Centre St & Chambers St,40.71273266,-74.0046073,441
140,388,W 26 St & 10 Ave,40.749717753,-74.002950346,337
141,389,Broadway & Berry St,40.71044554,-73.96525063,104
142,391,Clark St & Henry St,40.69760127,-73.99344559,138
143,392,Jay St & Tech Pl,40.695065,-73.987167,155
144,393,E 5 St & Avenue C,40.72299208,-73.97995466,115
145,394,E 9 St & Avenue C,40.72521311,-73.97768752,222
146,396,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,38
147,397,Fulton St & Clermont Ave,40.68415748,-73.96922273,22
148,398,Atlantic Ave & Furman St,40.69165183,-73.9999786,91
149,399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,73
150,400,Pitt St & Stanton St,40.71926081,-73.98178024,48
151,401,Allen St & Rivington St,40.72019576,-73.98997825,245
152,402,Broadway & E 22 St,40.7403432,-73.98955109,749
153,403,E 2 St & 2 Ave,40.72502876,-73.99069656,225
154,405,Washington St & Gansevoort St,40.739323,-74.008119,483
155,406,Hicks St & Montague St,40.69512845,-73.99595065,96
156,407,Henry St & Poplar St,40.700469,-73.991454,71
157,408,Market St & Cherry St,40.71076228,-73.99400398,78
158,409,DeKalb Ave & Skillman St,40.6906495,-73.95643107,40
159,410,Suffolk St & Stanton St,40.72066442,-73.98517977,243
160,411,E 6 St & Avenue D,40.72228087,-73.97668709,112
161,412,Forsyth St & Canal St,40.7158155,-73.99422366,232
162,414,Pearl St & Anchorage Pl,40.70281858,-73.98765762,159
163,415,Pearl St & Hanover Square,40.7047177,-74.00926027,141
164,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,70
165,417,Barclay St & Church St,40.71291224,-74.01020234,306
166,418,Front St & Gold St,40.70224,-73.982578,82
167,419,Carlton Ave & Park Ave,40.69580705,-73.97355569,55
168,420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,39
169,421,Clermont Ave & Park Ave,40.69573398,-73.97129668,41
170,422,W 59 St & 10 Ave,40.770513,-73.988038,243
171,423,W 54 St & 9 Ave,40.76584941,-73.98690506,157
172,426,West St & Chambers St,40.71754834,-74.01322069,653
173,427,Bus Slip & State St,40.701907,-74.013942,159
174,432,E 7 St & Avenue A,40.72621788,-73.98379855,297
175,433,E 13 St & Avenue A,40.72955361,-73.98057249,298
176,435,W 21 St & 6 Ave,40.74173969,-73.99415556,796
177,436,Hancock St & Bedford Ave,40.68216564,-73.95399026,25
178,437,Macon St & Nostrand Ave,40.6809833854,-73.9500479759,92
179,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,247
180,439,E 4 St & 2 Ave,40.7262807,-73.98978041,284
181,440,E 45 St & 3 Ave,40.75255434,-73.97282625,265
182,441,E 52 St & 2 Ave,40.756014,-73.967416,237
183,442,W 27 St & 7 Ave,40.746647,-73.993915,549
184,443,Bedford Ave & S 9 St,40.70853074,-73.96408963,36
185,445,E 10 St & Avenue A,40.72740794,-73.98142006,302
186,446,W 24 St & 7 Ave,40.74487634,-73.99529885,406
187,447,8 Ave & W 52 St,40.76370739,-73.9851615,244
188,448,W 37 St & 10 Ave,40.75660359,-73.9979009,241
189,450,W 49 St & 8 Ave,40.76227205,-73.98788205,362
190,453,W 22 St & 8 Ave,40.74475148,-73.99915362,410
191,454,E 51 St & 1 Ave,40.75455731,-73.96592976,159
192,455,1 Ave & E 44 St,40.75001986,-73.96905301,267
193,456,E 53 St & Madison Ave,40.7597108,-73.97402311,195
194,457,Broadway & W 58 St,40.76695317,-73.98169333,421
195,458,11 Ave & W 27 St,40.751396,-74.005226,428
196,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,199
197,461,E 20 St & 2 Ave,40.73587678,-73.98205027,292
198,462,W 22 St & 10 Ave,40.74691959,-74.00451887,572
199,465,Broadway & W 41 St,40.75513557,-73.98658032,652
200,466,W 25 St & 6 Ave,40.74395411,-73.99144871,406
201,467,Dean St & 4 Ave,40.68312489,-73.97895137,143
202,468,Broadway & W 56 St,40.7652654,-73.98192338,396
203,469,Broadway & W 53 St,40.76344058,-73.98268129,270
204,471,Grand St & Havemeyer St,40.71286844,-73.95698119,79
205,472,E 32 St & Park Ave,40.7457121,-73.98194829,440
206,473,Rivington St & Chrystie St,40.72110063,-73.9919254,154
207,474,5 Ave & E 29 St,40.7451677,-73.98683077,396
208,476,E 31 St & 3 Ave,40.74394314,-73.97966069,200
209,477,W 41 St & 8 Ave,40.75640548,-73.9900262,660
210,478,11 Ave & W 41 St,40.76030096,-73.99884222,250
211,479,9 Ave & W 45 St,40.76019252,-73.9912551,282
212,480,W 53 St & 10 Ave,40.76669671,-73.99061728,234
213,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,108
214,482,W 15 St & 7 Ave,40.73935542,-73.99931783,554
215,483,E 12 St & 3 Ave,40.73223272,-73.98889957,290
216,484,W 44 St & 5 Ave,40.75500254,-73.98014437,298
217,485,W 37 St & 5 Ave,40.75038009,-73.98338988,37
218,486,Broadway & W 29 St,40.7462009,-73.98855723,416
219,487,E 20 St & FDR Drive,40.73314259,-73.97573881,315
220,491,E 24 St & Park Ave S,40.74096374,-73.98602213,372
221,492,W 33 St & 7 Ave,40.75019995,-73.99093085,899
222,494,W 26 St & 8 Ave,40.74734825,-73.99723551,382
